Model,RNN Type,Sequence Length,Training Loss,Validation Loss,Validation Accuracy,Training time,Inference Time,Hidden Size,Fully Connected Layers,Parameters,Size (MB),Predicted next character
1,LSTM,20,1.3781588373393039,1.3724205528732634,0.5940240672635367,437.21747851371765,0.3880350589752197,128,1,148801,0.5676307678222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        winty to this business of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of"
2,LSTM,20,1.2738855842256198,1.2681992402041915,0.6037427804485311,395.23538088798523,0.3015263080596924,128,2,165313,0.6306190490722656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        lors:
The sun to the season of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of the common morning of t"
3,LSTM,20,1.25736962791777,1.2526808924918627,0.6073577114044257,403.25523829460144,0.3305244445800781,128,3,181825,0.6936073303222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        yoke.

PETRUCHIO:
Why, then the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state "
4,LSTM,20,1.1456232244951012,1.1302009764378957,0.6623652694073916,521.7024219036102,0.5350639820098877,256,1,559681,2.1350135803222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        orfist,
I will not see the county as the seat of mine,
And therefore lies all the court of a state, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the sea,
And therefore lie, and there are the "
5,LSTM,20,1.0061304756324656,0.9839211397797522,0.6856283183936509,530.5484898090363,0.5540485382080078,256,2,625473,2.3859901428222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        argueth! Henceforward and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off with a beggar, and the seat of the world,
That I may be not so far off"
6,LSTM,20,0.9669909185736719,0.9422453080650663,0.6969993921321458,531.4982500076294,0.5830650329589844,256,3,691265,2.6369667053222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        GLETMIOS!'!

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest of this matching me.

KING RICHARD II:
The rest o"
7,LSTM,20,0.5715458614982828,0.5366843888794419,0.8369551379178644,1128.0742783546448,0.5540609359741211,512,1,2167873,8.269779205322266,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        ispassio.

BRUTUS:
How now! what's the matter?

MENENIUS:
He's stand and let thee be
To be the dead to the gods, but with a linence on my staye-holy mete's free unpieces of our state
And cruel divine to more rage,
And was with the land
That threatened of the world,
And would by contracted good old grave is to be so bound? all's no matter for that.
Come, master'? lay hath resides me me weeping.

PETRUCHIO:
Why, what a witness? When you are come,
And straight dispatch they are in arms,
Be said to be of ours.

FRIAR LAURENCE:
Hold, then, dear sir,
When I see thy brother of a gods,
And all the rest was so.

PETRUCHIO:
Why, there's man? 'tis better for the world
For making them and as free corruption of a love lost his length, and he shall soon perpetual souls, and love to enter in,
And thou seem'd to fall into him;
And bring me some other way
From Rivers' god; be gones
But your countenance is only their spirits
And crust me once a run-fold with me; who may be so bold to know the crown in m"
8,LSTM,20,0.35983168600249466,0.3207162477239205,0.8960034929987609,1143.2472605705261,0.5870661735534668,512,2,2430529,9.271732330322266,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        Vollowelations, that I must be so fouler than my son, which first wearisome weeping fools;
To think anon, for all thy head of the house: farewell.

GLOUCESTER:
Go, and by and by; and 'tis a looking on their powerful warrant for this dead--
Stand all of Rome, he shall bring you talk of are small:
Shall I by this young prince! Bring excellence!
Tush, I will attend her!

LADY CAPULET:
What satisfaction canst thou tell her off youth wonders thou hither, that was too much iron friends,
Is prisoner to the court?
Sound drums and trumpets! Sits,
Look in him and his wife and his friends and others, sir, to thee, farewell.

GLOUCESTER:
Go, and by and by; and 'tis a looking on their powerful warrant for this dead--
Stand all of Rome, he shall bring you talk of are small:
Shall I by this young prince! Bring excellence!
Tush, I will attend her!

LADY CAPULET:
What satisfaction canst thou tell her off youth wonders thou hither, that was too much iron friends,
Is prisoner to the court?
Sound drums an"
9,LSTM,20,0.3249819350503657,0.2682025154141614,0.9118600577026181,1134.651575088501,0.6080524921417236,512,3,2693185,10.273685455322266,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        lady,--
For this one thing to me a former all,
Were you shall be conducted.

DUKE VINCENTIO:
You must, sir, almost his own report is arm of mine eyes
Was never woman to do and dead?
Your diale tongue more than himself?

Messenger:
The slave-to--
Were condemn'd by mine honour let me bear it! I can refres Rome that ever tway behind your applace. But, give me the devil.
A plague or o' the consent?
There was a disease of his trembling gall;
And here resists me not?

Shepherd:
Let me see the vex your bendth--
This proclamation! he must be married;
Which will not out of dangerous arms:
That I may call thee some conqueror;
For now he lives in hell.
The world among 't they offend that he hath done me wrong,
And therefore I'll uncrown him ere't be king, I wore your fault too tigert in this institution, and the people's mouths than the sun shall I rest but think
What news abroad us!

GLOUCESTER:
I doubt not then but a sudden blushes o'er his swain.

BRAKENCA:
In that the earth he grows imprimeti"
10,GRU,20,1.3402391115244288,1.3343277673651701,0.5910044523182358,387.7914135456085,0.29253101348876953,128,1,115777,0.4416542053222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        unto the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the conceit and the sea,
And then the sea, therefore do the"
